CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q1 2021,-621.01,AGG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q1 2021,-218.18,AGG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q1 2021,61.96,AGG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q1 2021,518.61,AGG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q1 2021,-0.00,AGG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q1 2021,580.58,AGG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q2 2021,-508.96,AGG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q2 2021,-331.99,AGG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q2 2021,-144.44,AGG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q2 2021,580.58,AGG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q2 2021,-0.00,AGG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q2 2021,436.14,AGG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2021,39.05,AGG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2021,-195.29,AGG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2021,-291.67,AGG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2021,436.14,AGG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2021,-0.00,AGG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2021,144.47,AGG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q4 2021,-857.55,AGG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q4 2021,130.12,AGG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q4 2021,253.17,AGG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q4 2021,144.47,AGG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q4 2021,-0.00,AGG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q4 2021,397.64,AGG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q1 2022,-596.47,AGG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q1 2022,611.99,AGG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q1 2022,800.26,AGG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q1 2022,397.64,AGG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q1 2022,0.00,AGG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q1 2022,"1,197.89",AGG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q2 2022,-694.89,AGG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q2 2022,-2.21,AGG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q2 2022,"1,264.61",AGG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q2 2022,397.64,AGG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q2 2022,0.00,AGG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q2 2022,"1,662.25",AGG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2022,-477.26,AGG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2022,-662.79,AGG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2022,-568.53,AGG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2022,"1,662.25",AGG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2022,0.00,AGG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2022,"1,093.72",AGG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q4 2022,-400.57,AGG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q4 2022,-373.88,AGG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q4 2022,-370.92,AGG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q4 2022,"1,093.72",AGG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q4 2022,0.00,AGG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q4 2022,722.80,AGG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q1 2023,743.03,AGG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q1 2023,-313.36,AGG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q1 2023,-102.82,AGG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q1 2023,722.80,AGG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q1 2023,-0.00,AGG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q1 2023,619.98,AGG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q2 2023,-150.43,AGG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q2 2023,150.01,AGG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q2 2023,-445.35,AGG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q2 2023,619.98,AGG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q2 2023,0.00,AGG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q2 2023,174.63,AGG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2023,-3.84,AGG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2023,-57.50,AGG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2023,83.54,AGG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2023,174.63,AGG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2023,0.00,AGG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2023,258.18,AGG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q4 2023,-109.48,AGG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q4 2023,-80.43,AGG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q4 2023,514.23,AGG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q4 2023,258.18,AGG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q4 2023,-0.00,AGG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q4 2023,772.41,AGG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q1 2024,-637.52,AGG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q1 2024,3.70,AGG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q1 2024,-675.47,AGG
